"variable","alabama","idaho","indiana","iowa","kansas","kentucky","louisiana","mississippi","new hampshire","new mexico","north carolina","north dakota","oklahoma","pennsylvania","rhode island","south dakota","tennessee","texas","vermont","west virginia"
"LFPR",0.543,0.491,0.238,0.632,0.033,0.809,0.244,0.888,0.629,0.069,0.843,0.679,0.132,0.75,0.325,0.888,0.756,0.726,0.527,0.984
"EMPR",0.225,0.665,0.783,0.288,0.085,0.785,0.149,0.618,0.755,0.825,0.334,0.236,0.125,0.261,0.314,0.407,0.363,0.273,0.34,0.264
"Unemployment",0.178,0.758,0.584,0.39,0.55,0.662,0.216,0.853,0.477,0.421,0.411,0.137,0.124,0.118,0.971,0.303,0.528,0.257,0.641,0.183
