"variable","alabama","idaho","indiana","iowa","kansas","kentucky","louisiana","mississippi","new hampshire","new mexico","north carolina","north dakota","oklahoma","pennsylvania","rhode island","south dakota","tennessee","texas","vermont","west virginia"
"LFPR",0.91,0.703,0.632,0.751,0.548,0.974,0.688,0.767,0.734,0.445,0.849,0.941,0.722,0.766,0.714,0.58,0.814,0.983,0.642,0.734
"EMPR",0.781,0.724,0.238,0.438,0.917,0.232,0.982,0.298,0.951,0.311,0.453,0.527,0.839,0.464,0.322,0.974,0.242,0.521,0.709,0.457
"Unemployment",0.199,0.741,0.08,0.019,0.059,0.024,0.327,0.056,0.203,0.471,0.194,0.058,0.126,0.196,0.256,0.139,0.025,0.093,0.212,0.248
