"variable","alabama","idaho","indiana","iowa","kansas","kentucky","louisiana","mississippi","new hampshire","new mexico","north carolina","north dakota","oklahoma","pennsylvania","rhode island","south dakota","tennessee","texas","vermont","west virginia"
"LFPR",0.569,0.158,0.091,0.57,0.581,0.289,0.894,0.395,0.302,0.038,0.406,0.712,0.975,0.209,0.896,0.645,0.365,0.387,0.608,0.323
"EMPR",0.77,0.659,0.286,0.979,0.305,0.323,0.537,0.58,0.629,0.304,0.911,0.694,0.499,0.989,0.903,0.973,0.695,0.954,0.982,0.912
"Unemployment",0.209,0.712,0.552,0.394,0.528,0.617,0.234,0.988,0.457,0.404,0.405,0.173,0.17,0.155,0.893,0.316,0.524,0.292,0.596,0.206
