"variable","alabama","idaho","indiana","iowa","kansas","kentucky","louisiana","mississippi","new hampshire","new mexico","north carolina","north dakota","oklahoma","pennsylvania","rhode island","south dakota","tennessee","texas","vermont","west virginia"
"LFPR",0.501,0.113,0.1,0.809,0.645,0.414,0.938,0.374,0.911,0.04,0.244,0.564,0.819,0.063,0.1,0.758,0.072,0.22,0.982,0.138
"EMPR",0.751,0.703,0.145,0.343,0.871,0.159,0.953,0.244,0.912,0.213,0.372,0.486,0.807,0.34,0.26,0.985,0.121,0.387,0.67,0.378
"Unemployment",0.89,0.799,0.331,0.074,0.248,0.102,0.917,0.181,0.791,0.724,0.683,0.286,0.803,0.96,0.573,0.497,0.123,0.625,0.529,0.829
