"variable","alabama","idaho","indiana","iowa","kansas","kentucky","louisiana","mississippi","new hampshire","new mexico","north carolina","north dakota","oklahoma","pennsylvania","rhode island","south dakota","tennessee","texas","vermont","west virginia"
"LFPR",0.713,0.433,0.378,0.194,0.231,0.286,0.855,0.373,0.513,0.098,0.5,0.78,0.822,0.635,0.635,0.048,0.67,0.837,0.371,0.568
"EMPR",0.412,0.835,0.302,0.661,0.614,0.313,0.28,0.358,0.893,0.342,0.839,0.685,0.221,0.449,0.099,0.283,0.129,0.337,0.648,0.307
"Unemployment",0.116,0.964,0.165,0.06,0.192,0.046,0.043,0.243,0.112,0.748,0.358,0.134,0.053,0.281,0.019,0.34,0.04,0.103,0.62,0.137
